country code,postal code,place,state,statecode,province_or_county,province_or_countycode,community,communitycode,latitude,longitude,accuracy,Country,Continent,Population province,BBP province
NL,9401,Assen,Drenthe,1,Assen,106,,,529.938,65.623,6,Netherlands,Europe,494.760,15.584
NL,9402,Assen,Drenthe,1,Assen,106,,,530.043,65.594,6,Netherlands,Europe,494.760,15.584
NL,9403,Assen,Drenthe,1,Assen,106,,,530.145,65.862,6,Netherlands,Europe,494.760,15.584
NL,9404,Assen,Drenthe,1,Assen,106,,,529.868,65.763,6,Netherlands,Europe,494.760,15.584
NL,9405,Assen,Drenthe,1,Assen,106,,,529.863,65.293,6,Netherlands,Europe,494.760,15.584
NL,9406,Assen,Drenthe,1,Assen,106,,,530.022,65.433,6,Netherlands,Europe,494.760,15.584
NL,9407,Assen,Drenthe,1,Assen,106,,,530.177,65.614,6,Netherlands,Europe,494.760,15.584
NL,9408,Assen,Drenthe,1,Assen,106,,,530.031,65.116,6,Netherlands,Europe,494.760,15.584
NL,9409,Loon,Drenthe,1,Assen,106,,,530.131,66.118,6,Netherlands,Europe,494.760,15.584
NL,9486,Rhee,Drenthe,1,Assen,106,,,530.336,6.571,6,Netherlands,Europe,494.760,15.584
NL,9487,Ter Aard,Drenthe,1,Assen,106,,,530.271,65.446,6,Netherlands,Europe,494.760,15.584
NL,9488,Zeijerveld,Drenthe,1,Assen,106,,,530.336,65.193,6,Netherlands,Europe,494.760,15.584
NL,9489,Zeijerveen,Drenthe,1,Assen,106,,,530.135,6.521,6,Netherlands,Europe,494.760,15.584
NL,9492,Ubbena,Drenthe,1,Assen,106,,,530.494,65.794,6,Netherlands,Europe,494.760,15.584
NL,7741,Coevorden,Drenthe,1,Coevorden,109,,,526.665,67.349,6,Netherlands,Europe,494.760,15.584
NL,7742,Coevorden,Drenthe,1,Coevorden,109,,,526.587,67.543,6,Netherlands,Europe,494.760,15.584
NL,7751,Dalen,Drenthe,1,Coevorden,109,,,526.928,67.573,6,Netherlands,Europe,494.760,15.584
NL,7753,Dalerpeel,Drenthe,1,Coevorden,109,,,526.811,66.613,6,Netherlands,Europe,494.760,15.584
NL,7754,Wachtum,Drenthe,1,Coevorden,109,,,52.725,6.748,6,Netherlands,Europe,494.760,15.584
NL,7755,Dalerveen,Drenthe,1,Coevorden,109,,,52.694,68.086,6,Netherlands,Europe,494.760,15.584
NL,7756,Stieltjeskanaal,Drenthe,1,Coevorden,109,,,526.747,68.123,6,Netherlands,Europe,494.760,15.584
NL,7841,Sleen,Drenthe,1,Coevorden,109,,,527.696,68.016,6,Netherlands,Europe,494.760,15.584
NL,7842,Diphoorn,Drenthe,1,Coevorden,109,,,527.706,68.183,6,Netherlands,Europe,494.760,15.584
NL,7843,Erm,Drenthe,1,Coevorden,109,,,527.484,68.084,6,Netherlands,Europe,494.760,15.584
